season,lg,player,player_id,age,team,id,playtype_id,mp,f_tr,orb_percent,drb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,height_cm,fga_per_100_poss,pts_per_100_poss,avg_dist,percent_fga_from_0_3_range,percent_fga_from_3_10_range,percent_fga_from_10_16_range,percent_fga_from_16_3p_range,percent_fga_from_3p_range,percent_corner_3s_of_3pa,percent_assisted_2p_fg,percent_assisted_3p_fg,3p_percent,2p_percent,ft_percent,cut_pct,handoff_pct,iso_pct,off_screen_pct,pnr_handler_pct,pnr_roller_pct,postup_pct,putback_pct,spotup_pct
2025,NBA,Precious Achiuwa,achiupr01,25,NYK,2025achiupr01NYK,2025NYKprecious achiuwa,1170,0.211,10,21,6.2,2,3.3,11.2,14.9,203,13.9,16.1,1.88976,0.523,0.266,0.098,0.003,0.11,0.75,0.695,1,0.278,0.529,0.594,0.195,0,0.057,0,0,0.143,0.052,0.17,0.19
2025,NBA,Steven Adams,adamsst01,31,HOU,2025adamsst01HOU,2025HOUsteven adams,794,0.557,21.8,22,10.9,1.3,3.2,20.6,13.6,211,10.2,13.8,1.24968,0.611,0.311,0.066,0,0.012,0,0.451,0,0,0.552,0.462,0.155,0,0,0,0,0.155,0.068,0.398,0
2025,NBA,Bam Adebayo,adebaba01,27,MIA,2025adebaba01MIA,2025MIAbam adebayo,2674,0.295,7.7,23.1,20,1.8,1.9,11.4,23.5,206,20.8,26.3,3.47472,0.213,0.285,0.247,0.057,0.199,0.29,0.605,0.886,0.357,0.517,0.765,0,0,0.118,0.024,0.027,0.179,0.129,0.068,0
2025,NBA,Ochai Agbaji,agbajoc01,24,TOR,2025agbajoc01TOR,2025TORochai agbaji,1739,0.09,3.7,11.4,7.9,1.6,1.6,8.9,14.6,196,14.8,18.5,4.02336,0.365,0.124,0.028,0.009,0.474,0.542,0.794,0.96,0.399,0.587,0.708,0.097,0.069,0,0.034,0.053,0.043,0,0.043,0
2025,NBA,Santi Aldama,aldamsa01,24,MEM,2025aldamsa01MEM,2025MEMsanti aldama,1660,0.145,6.1,20.3,15.2,1.5,1.6,9.3,18.5,211,18.1,22.7,4.75488,0.208,0.21,0.059,0.02,0.503,0.261,0.642,0.967,0.368,0.599,0.691,0,0.016,0.024,0.026,0,0.034,0,0,0.421
2025,NBA,Nickeil Alexander-Walker,alexani01,26,MIN,2025alexani01MIN,2025MINnickeil alexander-walker,2073,0.192,2.9,11.1,15,1.2,1.5,12.9,16,196,14.7,18.4,5.334,0.166,0.14,0.063,0.031,0.601,0.335,0.612,0.986,0.381,0.524,0.78,0,0.037,0,0.031,0.183,0,0,0,0
2025,NBA,Grayson Allen,allengr01,29,PHO,2025allengr01PHO,2025PHOgrayson allen,1544,0.233,2.5,11.3,12.5,1.7,1.2,12.2,17.6,193,15.7,21.8,6.096,0.102,0.139,0.039,0.004,0.716,0.263,0.7,0.966,0.426,0.504,0.816,0.02,0.057,0.023,0.085,0.094,0.055,0,0,0.466
2025,NBA,Jarrett Allen,allenja01,26,CLE,2025allenja01CLE,2025CLEjarrett allen,2296,0.433,10.5,26.7,9.5,1.6,2.9,11.3,15.9,211,13.4,23.1,1.09728,0.594,0.342,0.05,0.006,0.008,0.4,0.825,0,0,0.712,0.718,0.294,0,0,0,0,0.289,0.042,0,0
2025,NBA,Jose Alvarado,alvarjo01,26,NOP,2025alvarjo01NOP,2025NOPjose alvarado,1366,0.142,2.1,8.9,27.3,2.6,1,13.4,19.8,183,18.5,20.5,5.45592,0.136,0.177,0.081,0.013,0.593,0.207,0.376,0.703,0.359,0.439,0.811,0.021,0.047,0.058,0.017,0.342,0.016,0,0,0.281
2025,NBA,Kyle Anderson,anderky01,31,GSW,2025anderky01GSW,2025GSWkyle anderson,541,0.16,5.2,17,21.2,2.3,3.5,10,15.7,206,15.2,17,4.02336,0.095,0.45,0.089,0.059,0.308,0.423,0.544,0.947,0.365,0.487,0.667,0.136,0,0.075,0,0.065,0,0,0.065,0.337
2025,NBA,Kyle Anderson,anderky01,31,MIA,2025anderky01MIA,2025MIAkyle anderson,461,0.284,6.3,16.6,20.1,1.5,2.7,10.1,16.1,206,14.5,18.2,2.62128,0.299,0.403,0.119,0.045,0.134,0.5,0.45,1,0.333,0.517,0.789,0.088,0,0.147,0,0.129,0.106,0,0.112,0
